size,num_threads,adjust_seq_time,adjust_para_time,count_seq_time,count_para_time,scan_seq_time,scan_para_time
10000,1,4.8113e-05,0.000128343,5.83e-05,0.000120875,7.1628e-05,0.0001177
10000,2,4.7935e-05,0.000146307,5.8253e-05,8.4003e-05,7.4998e-05,0.000140085
10000,4,4.8501e-05,0.000632667,5.8496e-05,7.9303e-05,8.1827e-05,0.00015038
10000,8,5.0145e-05,0.00129391,5.848e-05,0.000132255,0.000205624,0.000128002
10000,16,5.6828e-05,0.00273205,7.3585e-05,0.000124532,0.000521204,0.000217919
100000,1,0.000559704,0.000820453,0.000588798,0.000911536,0.000822286,0.00120774
100000,2,0.000548013,0.000694053,0.000599385,0.000505595,0.000825945,0.00121715
100000,4,0.000506662,0.00120777,0.000578418,0.000302546,0.000789286,0.00061859
100000,8,0.000516918,0.0022546,0.000612608,0.000284281,0.000815949,0.000481837
100000,16,0.000514806,0.00423953,0.00066229,0.000216826,0.000960631,0.000342223
1000000,1,0.00544835,0.00744481,0.00574987,0.00850046,0.00743495,0.0114286
1000000,2,0.00501436,0.00386218,0.00574701,0.0043354,0.00747486,0.00969918
1000000,4,0.00498574,0.00313866,0.00576557,0.00227911,0.00752797,0.00627274
1000000,8,0.00503372,0.00333518,0.00581,0.00135809,0.00797763,0.00339737
1000000,16,0.00504344,0.00526907,0.00605218,0.000869,0.00777986,0.00274323
10000000,1,0.0486813,0.0725117,0.0583748,0.0861545,0.0726768,0.112012
10000000,2,0.048589,0.0360854,0.0583221,0.0434778,0.0721457,0.0971
10000000,4,0.0486765,0.0191268,0.0584087,0.0220124,0.0722153,0.053657
10000000,8,0.0486092,0.0145487,0.0593122,0.0124393,0.0730838,0.0341166
10000000,16,0.0487225,0.0138227,0.0584753,0.00726158,0.0723048,0.0204579
100000000,1,0.499382,0.706758,0.583506,0.862501,0.737192,1.16599
100000000,2,0.474063,0.356053,0.582357,0.434962,0.715193,0.964366
100000000,4,0.474396,0.183346,0.582286,0.22256,0.751419,0.570636
100000000,8,0.474607,0.108499,0.582914,0.120646,0.713406,0.316579
100000000,16,0.474043,0.075752,0.583149,0.0748377,0.714844,0.203347
